mode	N	run	conn_ok	stomp_ok	msgs	msg_s	p50_ms	p95_ms	p99_ms	max_ms	http_reqs	req_s	http_fail	dropped	http_p99_ms	api_cpu_cores	api_heap_mb	api_threads	ws_out_delta
ws	1000	1	1	1	395944	6599	47	79	153	172						0.2	731	288.0	21412
ws	1000	2	1	1	396159	6603	48	82	145	161						0.1	745	176.0	21210
ws	1000	3	1	1	395957	6599	48	78	139	164						0.1	711	176.0	21412
poll1000	1000	1					544	990	1040	1292	295338	4908.0	0.0	4661	469.8	2.8	736	304.0	13130
poll1000	1000	2					544	990	1040	1285	298857	4980.8	0.0	1144	180.8	2.6	734	264.0	12524
poll1000	1000	3					537	990	1039	1307	298145	4968.7	0.0	1855	244.2	2.5	713	264.0	12524
poll500	1000	1					552	991	1041	1334	325516	5373.7	0.0	274485	824.2	2.1	755	264.0	15150
poll500	1000	2					540	991	1040	1314	320479	5299.5	0.0	279522	831.3	2.1	738	264.0	15352
poll500	1000	3					536	990	1041	1274	322746	5324.7	0.0	277255	828.7	2.1	755	264.0	15150
ws	5000	1	1	1	2214101	36902	134	255	338	411						0.5	1198	304.0	24442
ws	5000	2	1	1	2214569	36909	129	253	322	432						0.4	1337	170.0	24442
ws	5000	3	1	1	2214483	36908	127	222	271	380						0.4	1371	170.0	24240
poll1000	5000	1					543	990	1039	1277	331092	5473.0	0.0	1168910	797.3	2.2	1247	304.0	14948
poll1000	5000	2					554	991	1041	1304	316587	5230.9	0.0	1183415	929.9	2.0	1254	265.0	15352
poll1000	5000	3					554	990	1039	1356	331264	5477.7	0.0	1168741	854.2	2.1	1305	265.0	15150
poll500	5000	1					554	988	1041	1338	326289	5384.5	0.0	2673726	888.6	2.1	1310	265.0	15150
poll500	5000	2					555	988	1043	1327	326265	5391.6	0.0	2673738	845.4	2.1	1317	266.0	15352
poll500	5000	3					559	989	1040	1331	325896	5386.9	0.0	2674105	908.1	2.1	1331	267.0	15150
ws	10000	1	0.3	0.4	4551464	75858	229	475	582	809						0.4	1759	307.0	34340
ws	10000	2	0.3	0.4	4565192	76087	232	479	601	898						0.4	1749	136.0	34340
ws	10000	3	0.5	0.6	4631777	77196	213	419	572	780						0.4	1962	141.0	35754
poll1000	10000	1					559	989	1037	1298	326125	5392.0	0.0	2673876	817.2	2.2	1734	306.0	15150
poll1000	10000	2					548	991	1039	1268	322804	5320.7	0.0	2677212	820.5	2.2	1578	266.0	15150
poll1000	10000	3					547	991	1038	1295	323747	5342.4	0.0	2676253	856.7	2.1	1668	266.0	15150
poll500	10000	1					543	990	1038	1288	322913	5330.7	0.0	5677090	835.0	2.1	1677	266.0	15150
poll500	10000	2					545	989	1039	1323	322763	5336.7	0.0	5677201	855.4	2.1	1673	266.0	15352
poll500	10000	3					543	992	1040	1341	316970	5231.2	0.0	5683035	858.2	2.0	1693	266.0	15352
