P	C	key	run	ticks	tick_s	violations	dups	gaps	p50_ms	p95_ms	p99_ms	max_ms	worker_cpu_cores	worker_heap_mb	worker_threads	kafka_stats
1	1	stock	1	80596	2015	0	0	0	32.127	140.169	589.316	742.347	0.25	397	86.0	monticker-kafka cpu=1.49% mem=630.7MiB / 1.5GiB;monticker-redis cpu=0.48% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.20% mem=147.9MiB / 1GiB;
1	1	stock	2	80598	2015	0	0	0	29.743	98.077	288.134	528.564	0.26	410	86.0	monticker-kafka cpu=1.74% mem=631.3MiB / 1.5GiB;monticker-redis cpu=0.68% mem=9.586MiB / 512MiB;monticker-postgres cpu=2.08% mem=153.6MiB / 1GiB;
1	1	stock	3	80598	2015	0	0	0	29.818	194.582	854.003	968.149	0.21	418	87.0	monticker-kafka cpu=2.46% mem=634MiB / 1.5GiB;monticker-redis cpu=0.54% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.54% mem=156.5MiB / 1GiB;
1	3	stock	1	80598	2015	0	0	0	25.71	62.159	270.809	508.648	0.21	405	151.0	monticker-kafka cpu=3.24% mem=637.9MiB / 1.5GiB;monticker-redis cpu=0.97% mem=9.422MiB / 512MiB;monticker-postgres cpu=2.20% mem=154.9MiB / 1GiB;
1	3	stock	2	80598	2015	0	0	0	27.013	71.212	182.103	407.663	0.26	411	150.0	monticker-kafka cpu=2.67% mem=641.7MiB / 1.5GiB;monticker-redis cpu=1.13% mem=9.816MiB / 512MiB;monticker-postgres cpu=1.27% mem=154.8MiB / 1GiB;
1	3	stock	3	80598	2015	0	0	0	27.135	66.568	205.847	390.065	0.2	422	150.0	monticker-kafka cpu=2.58% mem=644.4MiB / 1.5GiB;monticker-redis cpu=0.73% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.27% mem=157.2MiB / 1GiB;
1	6	stock	1	80278	2007	0	0	0	41.304	2542.254	2668.168	2777.526	0.32	356	246.0	monticker-kafka cpu=8.24% mem=649.6MiB / 1.5GiB;monticker-redis cpu=2.27% mem=9.336MiB / 512MiB;monticker-postgres cpu=9.14% mem=155.5MiB / 1GiB;
1	6	stock	2	80598	2015	0	0	0	31.673	73.844	119.376	219.7	0.33	307	246.0	monticker-kafka cpu=2.15% mem=652.1MiB / 1.5GiB;monticker-redis cpu=0.74% mem=9.566MiB / 512MiB;monticker-postgres cpu=1.90% mem=155.6MiB / 1GiB;
1	6	stock	3	80396	2010	0	0	0	30.932	201.205	520.659	713.042	0.3	336	246.0	monticker-kafka cpu=2.27% mem=654.8MiB / 1.5GiB;monticker-redis cpu=0.75% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.84% mem=161.1MiB / 1GiB;
3	1	stock	1	80598	2015	0	0	0	40.859	119.011	326.978	577.011	0.24	408	86.0	monticker-kafka cpu=1.63% mem=658.3MiB / 1.5GiB;monticker-redis cpu=0.66% mem=9.566MiB / 512MiB;monticker-postgres cpu=2.30% mem=156.9MiB / 1GiB;
3	1	stock	2	80348	2009	0	0	0	47.679	537.459	836.969	1172.221	0.3	413	86.0	monticker-kafka cpu=74.50% mem=707.6MiB / 1.5GiB;monticker-redis cpu=0.49% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.41% mem=162.3MiB / 1GiB;
3	1	stock	3	79832	1996	0	0	0	108.035	2628.506	3025.444	3274.282	0.27	388	87.0	monticker-kafka cpu=1.74% mem=665.5MiB / 1.5GiB;monticker-redis cpu=1.18% mem=9.566MiB / 512MiB;monticker-postgres cpu=3.87% mem=165.2MiB / 1GiB;
3	3	stock	1	80598	2015	0	0	0	24.585	52.249	115.961	335.502	0.24	344	152.0	monticker-kafka cpu=3.11% mem=669.1MiB / 1.5GiB;monticker-redis cpu=0.56% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.26% mem=158.8MiB / 1GiB;
3	3	stock	2	80598	2015	0	0	0	26.348	84.437	171.351	487.783	0.28	329	153.0	monticker-kafka cpu=2.79% mem=671.5MiB / 1.5GiB;monticker-redis cpu=0.95% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.09% mem=162.7MiB / 1GiB;
3	3	stock	3	80598	2015	0	0	0	25.273	60.981	140.012	356.089	0.24	359	152.0	monticker-kafka cpu=2.17% mem=674.9MiB / 1.5GiB;monticker-redis cpu=0.47% mem=9.562MiB / 512MiB;monticker-postgres cpu=2.46% mem=163.6MiB / 1GiB;
3	6	stock	1	80538	2013	0	0	0	27.36	86.639	374.638	666.098	0.27	427	248.0	monticker-kafka cpu=1.99% mem=677.3MiB / 1.5GiB;monticker-redis cpu=0.70% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.51% mem=168.5MiB / 1GiB;
3	6	stock	2	80598	2015	0	0	0	26.988	181.764	376.887	561.886	0.28	446	248.0	monticker-kafka cpu=2.58% mem=679.7MiB / 1.5GiB;monticker-redis cpu=0.94% mem=9.566MiB / 512MiB;monticker-postgres cpu=1.20% mem=169.4MiB / 1GiB;
3	6	stock	3	80598	2015	0	0	0	26.156	63.037	162.759	286.716	0.25	444	249.0	monticker-kafka cpu=2.44% mem=686.2MiB / 1.5GiB;monticker-redis cpu=0.65% mem=9.316MiB / 512MiB;monticker-postgres cpu=0.97% mem=176.6MiB / 1GiB;
6	1	stock	1	80598	2015	0	0	0	44.611	159.081	489.863	764.881	0.28	329	86.0	monticker-kafka cpu=22.62% mem=690.6MiB / 1.5GiB;monticker-redis cpu=0.41% mem=9.578MiB / 512MiB;monticker-postgres cpu=1.10% mem=158.8MiB / 1GiB;
6	1	stock	2	80598	2015	0	0	0	46.139	184.553	361.807	559.771	0.3	324	86.0	monticker-kafka cpu=76.37% mem=692.8MiB / 1.5GiB;monticker-redis cpu=0.93% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.87% mem=159.5MiB / 1GiB;
6	1	stock	3	80598	2015	0	0	0	133.839	1507.911	1917.992	2297.333	0.28	319	86.0	monticker-kafka cpu=60.68% mem=693.3MiB / 1.5GiB;monticker-redis cpu=0.39% mem=9.32MiB / 512MiB;monticker-postgres cpu=2.41% mem=164.6MiB / 1GiB;
6	3	stock	1	80598	2015	0	0	0	29.708	239.186	941.856	1358.356	0.3	321	153.0	monticker-kafka cpu=2.31% mem=696.7MiB / 1.5GiB;monticker-redis cpu=0.71% mem=9.57MiB / 512MiB;monticker-postgres cpu=1.28% mem=160.3MiB / 1GiB;
6	3	stock	2	80396	2010	0	0	0	28.645	106.94	321.471	640.997	0.28	335	152.0	monticker-kafka cpu=4.76% mem=701.2MiB / 1.5GiB;monticker-redis cpu=0.41% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.99% mem=165.2MiB / 1GiB;
6	3	stock	3	80598	2015	0	0	0	29.124	120.875	247.49	401.051	0.27	326	152.0	monticker-kafka cpu=1.39% mem=703.7MiB / 1.5GiB;monticker-redis cpu=0.37% mem=9.566MiB / 512MiB;monticker-postgres cpu=1.18% mem=165.4MiB / 1GiB;
6	6	stock	1	80396	2010	0	0	0	19.742	43.368	115.35	349.393	0.29	342	252.0	monticker-kafka cpu=64.03% mem=709.5MiB / 1.5GiB;monticker-redis cpu=0.58% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.14% mem=182.7MiB / 1GiB;
6	6	stock	2	80515	2013	0	0	0	26.759	142.583	483.877	1390.817	0.32	324	251.0	monticker-kafka cpu=175.09% mem=759MiB / 1.5GiB;monticker-redis cpu=0.87% mem=9.32MiB / 512MiB;monticker-postgres cpu=2.03% mem=183.5MiB / 1GiB;
6	6	stock	3	80396	2010	0	0	0	21.12	48.454	223.172	537.081	0.28	334	251.0	monticker-kafka cpu=3.47% mem=716.8MiB / 1.5GiB;monticker-redis cpu=0.60% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.62% mem=184.9MiB / 1GiB;
12	1	stock	1	80598	2015	0	0	0	47.044	169.546	446.966	812.832	0.28	396	86.0	monticker-kafka cpu=2.85% mem=723.2MiB / 1.5GiB;monticker-redis cpu=1.66% mem=9.32MiB / 512MiB;monticker-postgres cpu=2.05% mem=162.6MiB / 1GiB;
12	1	stock	2	80598	2015	0	0	0	51.834	221.271	487.168	819.77	0.32	409	86.0	monticker-kafka cpu=2.43% mem=725.7MiB / 1.5GiB;monticker-redis cpu=0.44% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.79% mem=168.5MiB / 1GiB;
12	1	stock	3	80396	2010	0	0	0	56.3	216.608	498.819	933.85	0.29	416	86.0	monticker-kafka cpu=1.94% mem=726.2MiB / 1.5GiB;monticker-redis cpu=0.45% mem=9.32MiB / 512MiB;monticker-postgres cpu=2.38% mem=169.4MiB / 1GiB;
12	3	stock	1	80598	2015	0	0	0	25.439	41.197	118.62	235.764	0.27	423	152.0	monticker-kafka cpu=1.88% mem=732.3MiB / 1.5GiB;monticker-redis cpu=0.58% mem=9.566MiB / 512MiB;monticker-postgres cpu=2.83% mem=167.8MiB / 1GiB;
12	3	stock	2	80598	2015	0	0	0	27.201	49.231	143.97	265.623	0.24	425	152.0	monticker-kafka cpu=2.64% mem=734.3MiB / 1.5GiB;monticker-redis cpu=1.09% mem=9.32MiB / 512MiB;monticker-postgres cpu=2.23% mem=168.4MiB / 1GiB;
12	3	stock	3	80565	2014	0	0	0	25.723	44.762	110.136	319.792	0.24	428	153.0	monticker-kafka cpu=3.07% mem=738.9MiB / 1.5GiB;monticker-redis cpu=0.52% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.26% mem=176.8MiB / 1GiB;
12	6	stock	1	80598	2015	0	0	0	20.791	35.557	106.8	233.077	0.33	300	252.0	monticker-kafka cpu=3.67% mem=742.4MiB / 1.5GiB;monticker-redis cpu=0.93% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.68% mem=178.1MiB / 1GiB;
12	6	stock	2	80598	2015	0	0	0	22.027	74.835	168.438	313.418	0.33	351	251.0	monticker-kafka cpu=24.13% mem=765.8MiB / 1.5GiB;monticker-redis cpu=1.14% mem=9.32MiB / 512MiB;monticker-postgres cpu=4.79% mem=184.7MiB / 1GiB;
12	6	stock	3	80246	2006	0	0	0	24.081	64.599	223.734	411.455	0.3	356	251.0	monticker-kafka cpu=1.94% mem=749.5MiB / 1.5GiB;monticker-redis cpu=0.62% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.49% mem=190.8MiB / 1GiB;
3	6	none	1	80598	2015	7	0	6	24.77	44.232	109.277	312.693	0.29	426	249.0	monticker-kafka cpu=2.47% mem=746.2MiB / 1.5GiB;monticker-redis cpu=1.02% mem=9.32MiB / 512MiB;monticker-postgres cpu=3.47% mem=164.2MiB / 1GiB;
3	6	none	2	80598	2015	0	0	0	26.825	44.249	84.346	240.056	0.32	431	248.0	monticker-kafka cpu=2.97% mem=748MiB / 1.5GiB;monticker-redis cpu=0.99% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.57% mem=165.8MiB / 1GiB;
3	6	none	3	80598	2015	0	0	0	25.739	45.951	125.573	282.095	0.26	435	248.0	monticker-kafka cpu=7.29% mem=747MiB / 1.5GiB;monticker-redis cpu=0.69% mem=9.32MiB / 512MiB;monticker-postgres cpu=2.50% mem=172.2MiB / 1GiB;
6	6	none	1	80598	2015	15	0	15	20.759	35.527	131.573	291.74	0.3	376	252.0	monticker-kafka cpu=1.93% mem=747.3MiB / 1.5GiB;monticker-redis cpu=0.66% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.80% mem=180.4MiB / 1GiB;
6	6	none	2	80598	2015	13	0	11	19.742	32.99	72.454	245.239	0.25	449	252.0	monticker-kafka cpu=2.57% mem=747.9MiB / 1.5GiB;monticker-redis cpu=0.74% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.77% mem=187.8MiB / 1GiB;
6	6	none	3	80396	2010	27	0	27	20.593	51.151	206.086	371.189	0.24	476	251.0	monticker-kafka cpu=2.88% mem=748.2MiB / 1.5GiB;monticker-redis cpu=0.48% mem=9.57MiB / 512MiB;monticker-postgres cpu=3.57% mem=193.3MiB / 1GiB;
12	6	none	1	80598	2015	3	0	1	20.154	29.718	61.798	168.446	0.3	444	253.0	monticker-kafka cpu=2.36% mem=749.3MiB / 1.5GiB;monticker-redis cpu=0.88% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.06% mem=176.2MiB / 1GiB;
12	6	none	2	80598	2015	7	0	7	21.314	38.805	103.737	173.045	0.26	439	252.0	monticker-kafka cpu=155.06% mem=840.8MiB / 1.5GiB;monticker-redis cpu=0.49% mem=9.32MiB / 512MiB;monticker-postgres cpu=1.50% mem=181.1MiB / 1GiB;
12	6	none	3	80598	2015	15	0	12	21.539	33.538	53.244	225.951	0.26	452	251.0	monticker-kafka cpu=24.93% mem=750.5MiB / 1.5GiB;monticker-redis cpu=0.52% mem=9.566MiB / 512MiB;monticker-postgres cpu=1.07% mem=182.8MiB / 1GiB;
