P	C	key	run	ticks	tick_s	violations	dups	gaps	p50_ms	p95_ms	p99_ms	max_ms	worker_cpu_cores	worker_heap_mb	worker_threads	kafka_stats
1	1	stock	1	80598	2015	0	0	0	37.171	418.269	598.948	704.356	0.32	403	92.0	monticker-kafka cpu=1.62% mem=536.7MiB / 1.5GiB;monticker-redis cpu=0.56% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.22% mem=133.6MiB / 1GiB;
1	1	stock	2	80598	2015	0	0	0	38.038	441.307	876.395	995.754	0.28	417	92.0	monticker-kafka cpu=1.98% mem=537.2MiB / 1.5GiB;monticker-redis cpu=0.86% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.01% mem=138.4MiB / 1GiB;
1	1	stock	3	80598	2015	0	0	0	31.762	133.866	434.625	657.417	0.22	402	93.0	monticker-kafka cpu=3.66% mem=538.1MiB / 1.5GiB;monticker-redis cpu=0.41% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.30% mem=139MiB / 1GiB;
1	3	stock	1	80598	2015	0	0	0	46.742	907.023	1031.505	1136.165	0.28	413	150.0	monticker-kafka cpu=1.30% mem=543MiB / 1.5GiB;monticker-redis cpu=0.32% mem=9.328MiB / 512MiB;monticker-postgres cpu=1.10% mem=134.5MiB / 1GiB;
1	3	stock	2	80598	2015	0	0	0	152.659	1455.111	1578.357	1717.48	0.32	406	150.0	monticker-kafka cpu=2.94% mem=543.7MiB / 1.5GiB;monticker-redis cpu=0.43% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.31% mem=140.1MiB / 1GiB;
1	3	stock	3	80598	2015	0	0	0	35.338	371.541	654.877	819.296	0.24	434	150.0	monticker-kafka cpu=2.11% mem=544.2MiB / 1.5GiB;monticker-redis cpu=0.88% mem=9.562MiB / 512MiB;monticker-postgres cpu=1.37% mem=146MiB / 1GiB;
1	6	stock	1	80396	2010	0	0	0	34.397	263.333	595.506	826.829	0.31	363	246.0	monticker-kafka cpu=177.57% mem=631.7MiB / 1.5GiB;monticker-redis cpu=0.57% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.76% mem=140.6MiB / 1GiB;
1	6	stock	2	80598	2015	0	0	0	39.711	269.067	599.008	829.858	0.34	300	246.0	monticker-kafka cpu=23.14% mem=569.2MiB / 1.5GiB;monticker-redis cpu=1.06% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.41% mem=145.9MiB / 1GiB;
1	6	stock	3	80598	2015	0	0	0	33.849	124.099	288.478	507.987	0.29	339	247.0	monticker-kafka cpu=4.38% mem=547MiB / 1.5GiB;monticker-redis cpu=2.13% mem=9.566MiB / 512MiB;monticker-postgres cpu=2.04% mem=148.4MiB / 1GiB;
3	1	stock	1	80573	2014	0	0	0	46.635	291.317	1062.764	1478.217	0.27	325	86.0	monticker-kafka cpu=2.54% mem=546.9MiB / 1.5GiB;monticker-redis cpu=0.60% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.56% mem=144.7MiB / 1GiB;
3	1	stock	2	80598	2015	0	0	0	41.267	215.556	645.005	974.924	0.29	316	86.0	monticker-kafka cpu=1.91% mem=547.6MiB / 1.5GiB;monticker-redis cpu=0.61% mem=9.566MiB / 512MiB;monticker-postgres cpu=2.87% mem=146.9MiB / 1GiB;
3	1	stock	3	80598	2015	133	0	133	46.705	611.466	1005.648	1428.582	0.25	321	86.0	monticker-kafka cpu=9.22% mem=548.6MiB / 1.5GiB;monticker-redis cpu=2.46% mem=9.566MiB / 512MiB;monticker-postgres cpu=1.33% mem=147.8MiB / 1GiB;
3	3	stock	1	80598	2015	335	0	335	25.326	63.619	543.645	879.349	0.28	300	153.0	monticker-kafka cpu=2.56% mem=550.1MiB / 1.5GiB;monticker-redis cpu=0.46% mem=9.336MiB / 512MiB;monticker-postgres cpu=1.40% mem=153.7MiB / 1GiB;
3	3	stock	2	80598	2015	0	0	0	24.731	53.722	256.919	513.114	0.29	307	152.0	monticker-kafka cpu=1.72% mem=572.7MiB / 1.5GiB;monticker-redis cpu=0.84% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.38% mem=156.5MiB / 1GiB;
3	3	stock	3	80598	2015	0	0	0	23.847	44.19	91.349	224.09	0.24	311	152.0	monticker-kafka cpu=2.85% mem=575.4MiB / 1.5GiB;monticker-redis cpu=0.80% mem=9.34MiB / 512MiB;monticker-postgres cpu=1.77% mem=157.2MiB / 1GiB;
3	6	stock	1	80598	2015	64	0	64	25.092	76.682	210.232	496.727	0.29	415	249.0	monticker-kafka cpu=2.14% mem=572.9MiB / 1.5GiB;monticker-redis cpu=0.65% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.36% mem=151.8MiB / 1GiB;
3	6	stock	2	80598	2015	0	0	0	25.863	73.839	231.393	363.938	0.29	539	248.0	monticker-kafka cpu=132.32% mem=663.6MiB / 1.5GiB;monticker-redis cpu=0.52% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.46% mem=154MiB / 1GiB;
3	6	stock	3	80598	2015	0	0	0	25.606	51.371	118.269	250.596	0.26	572	248.0	monticker-kafka cpu=3.93% mem=576MiB / 1.5GiB;monticker-redis cpu=0.50% mem=9.566MiB / 512MiB;monticker-postgres cpu=3.36% mem=155MiB / 1GiB;
6	1	stock	1	80396	2010	0	0	0	38.405	115.715	260.51	539.021	0.27	312	86.0	monticker-kafka cpu=1.67% mem=582.8MiB / 1.5GiB;monticker-redis cpu=0.42% mem=9.566MiB / 512MiB;monticker-postgres cpu=2.89% mem=137.9MiB / 1GiB;
6	1	stock	2	80598	2015	0	0	0	39.852	125.042	507.672	889.232	0.28	312	86.0	monticker-kafka cpu=2.48% mem=585.1MiB / 1.5GiB;monticker-redis cpu=0.81% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.12% mem=138.3MiB / 1GiB;
6	1	stock	3	80598	2015	0	0	0	37.667	68.564	184.73	385.692	0.23	308	87.0	monticker-kafka cpu=3.60% mem=587.7MiB / 1.5GiB;monticker-redis cpu=1.38% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.38% mem=140.4MiB / 1GiB;
6	3	stock	1	80598	2015	0	0	0	24.739	40.027	82.968	232.534	0.29	324	153.0	monticker-kafka cpu=2.89% mem=587.4MiB / 1.5GiB;monticker-redis cpu=0.75% mem=9.566MiB / 512MiB;monticker-postgres cpu=2.85% mem=156.6MiB / 1GiB;
6	3	stock	2	80598	2015	0	0	0	25.909	40.628	100.718	229.187	0.27	334	152.0	monticker-kafka cpu=2.06% mem=587.8MiB / 1.5GiB;monticker-redis cpu=1.58% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.75% mem=158.4MiB / 1GiB;
6	3	stock	3	80598	2015	0	0	0	25.729	43.171	77.598	176.755	0.26	332	152.0	monticker-kafka cpu=3.27% mem=588.4MiB / 1.5GiB;monticker-redis cpu=0.62% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.97% mem=160.1MiB / 1GiB;
6	6	stock	1	80598	2015	0	0	0	20.431	32.621	58.738	214.503	0.31	415	252.0	monticker-kafka cpu=46.27% mem=590MiB / 1.5GiB;monticker-redis cpu=0.52% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.59% mem=162.8MiB / 1GiB;
6	6	stock	2	80598	2015	0	0	0	20.518	32.029	61.451	185.579	0.28	454	252.0	monticker-kafka cpu=68.40% mem=647MiB / 1.5GiB;monticker-redis cpu=0.54% mem=9.566MiB / 512MiB;monticker-postgres cpu=2.19% mem=171.6MiB / 1GiB;
6	6	stock	3	80598	2015	0	0	0	20.908	32.19	63.82	203.513	0.28	460	251.0	monticker-kafka cpu=98.15% mem=595.2MiB / 1.5GiB;monticker-redis cpu=0.87% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.35% mem=175.2MiB / 1GiB;
12	1	stock	1	80598	2015	30	0	30	39.166	87.864	329.4	625.593	0.26	318	86.0	monticker-kafka cpu=3.89% mem=601.9MiB / 1.5GiB;monticker-redis cpu=1.09% mem=9.566MiB / 512MiB;monticker-postgres cpu=2.33% mem=143.7MiB / 1GiB;
12	1	stock	2	80598	2015	0	0	0	37.816	77.716	583.591	802.463	0.28	312	86.0	monticker-kafka cpu=4.37% mem=604.5MiB / 1.5GiB;monticker-redis cpu=1.49% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.02% mem=149.7MiB / 1GiB;
12	1	stock	3	80598	2015	30	0	30	39.739	99.162	358.818	773.379	0.24	317	87.0	monticker-kafka cpu=3.00% mem=606.9MiB / 1.5GiB;monticker-redis cpu=0.77% mem=9.316MiB / 512MiB;monticker-postgres cpu=2.53% mem=157.3MiB / 1GiB;
12	3	stock	1	80598	2015	0	0	0	25.101	41.196	191.219	454.883	0.27	416	153.0	monticker-kafka cpu=3.46% mem=612.9MiB / 1.5GiB;monticker-redis cpu=0.70% mem=9.316MiB / 512MiB;monticker-postgres cpu=3.63% mem=157.2MiB / 1GiB;
12	3	stock	2	80598	2015	98	0	98	25.541	67.591	175.128	353.123	0.24	424	152.0	monticker-kafka cpu=5.43% mem=615.7MiB / 1.5GiB;monticker-redis cpu=1.83% mem=9.316MiB / 512MiB;monticker-postgres cpu=4.26% mem=163.7MiB / 1GiB;
12	3	stock	3	80598	2015	55	0	55	26.844	65.792	145.06	329.062	0.24	421	152.0	monticker-kafka cpu=2.34% mem=622.6MiB / 1.5GiB;monticker-redis cpu=0.55% mem=9.336MiB / 512MiB;monticker-postgres cpu=1.69% mem=164.3MiB / 1GiB;
12	6	stock	1	80598	2015	0	0	0	23.001	66.919	146.956	382.276	0.31	396	252.0	monticker-kafka cpu=72.20% mem=623.5MiB / 1.5GiB;monticker-redis cpu=0.75% mem=9.316MiB / 512MiB;monticker-postgres cpu=5.56% mem=170.7MiB / 1GiB;
12	6	stock	2	80396	2010	116	0	116	21.488	53.848	187.75	428.466	0.28	382	251.0	monticker-kafka cpu=131.40% mem=717.3MiB / 1.5GiB;monticker-redis cpu=0.44% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.26% mem=174.4MiB / 1GiB;
12	6	stock	3	80598	2015	16	0	16	21.467	69.58	161.539	355.15	0.26	375	251.0	monticker-kafka cpu=1.49% mem=630.4MiB / 1.5GiB;monticker-redis cpu=0.59% mem=9.316MiB / 512MiB;monticker-postgres cpu=1.91% mem=175MiB / 1GiB;
