case	run	ticks	tick_s	violations	dups	gaps	hot_partition	hot_n	hot_p50	hot_p95	hot_p99	same_n	same_p50	same_p95	same_p99	other_n	other_p50	other_p95	other_p99	worker_cpu_cores
control	1	80598	2015	0	0	0	1	399	16.758	30.343	117.133	11954	18.961	32.995	120.721	68245	19.523	35.431	124.032	0.3
control	2	80598	2015	0	0	0	1	399	16.466	27.045	69.45	11958	19.195	29.189	71.114	68241	19.828	30.984	74.287	0.27
control	3	80598	2015	0	0	0	1	399	16.186	25.338	41.957	11963	19.013	27.701	60.851	68236	19.495	28.904	62.492	0.25
hot	1	83791	2095	0	0	0	1	3592	11.209	16.668	41.231	11970	14.002	25.46	58.5	68229	18.666	31.019	60.086	0.36
hot	2	83796	2095	0	0	0	1	3597	11.114	17.453	98.678	11970	13.376	28.508	140.05	68229	18.022	32.643	161.858	0.32
hot	3	83783	2095	0	0	0	1	3584	11.049	16.466	30.154	11970	13.702	24.76	66.56	68229	17.64	27.56	57.704	0.29
hot-slow	1	83704	2093	0	0	0	1	3505	11.241	36.354	125.208	11970	17.073	55.136	142.885	68229	20.0	52.209	114.202	0.42
hot-slow	2	83084	2077	0	0	0	1	3488	11.271	21.51	54.302	11880	16.348	35.862	85.525	67716	18.783	37.072	96.437	0.29
hot-slow	3	83688	2092	0	0	0	1	3489	11.489	28.101	62.792	11970	17.865	38.298	88.373	68229	20.212	41.43	72.67	0.28
hot-none	1	83780	2094	107	0	107	1	3581	11.442	26.325	66.068	13206	16.954	33.564	85.088	66993	18.727	37.269	96.194	0.34
hot-none	2	83719	2093	172	0	172	0	3520	11.486	31.662	116.474	13123	17.199	43.713	153.668	67076	19.295	48.552	163.892	0.32
hot-none	3	83826	2096	84	0	83	5	3627	11.342	22.799	38.813	13159	17.148	28.6	54.175	67040	18.418	31.527	58.877	0.33
